word,weight
ability,0.29237030007314685
able,0.4693867200376055
absolutely,0.06049454688587879
academia,0.12612157494989795
across,-0.021387396546227417
act,-0.3395853303213158
acting,-0.24908607907344174
action,0.4537279797706321
actor,0.3005774211486452
actual,-0.3374282122080662
actually,-1.0002272442030795
adaptation,0.261234795042118
add,-0.19470005812927124
addition,0.22791940044898248
admit,-0.22228350852858758
adventure,0.37628821814875846
age,-0.04761674676944066
ago,-0.30109104195085057
alchemist,0.4080963405506225
almost,-0.3389425999393711
alone,-0.21262929613695888
along,0.810785956416268
alot,-0.16187243596782788
already,0.08642747524728217
also,0.9079939914391918
although,0.3469567517226526
always,0.2906738473796838
amazing,1.539076483591092
among,0.3903586876851886
amount,-0.37846136887488024
amp,-0.01651065130850739
animated,0.06432608552087946
animation,-0.34920486479522683
anime,0.9567345784014057
annoying,-1.049990994028636
another,0.12008733871917171
answer,0.508187501522403
antagonist,0.43105020619033135
anyone,0.13857933014281054
anything,-1.055304722159388
anyway,-0.15856766743810238
aot,0.2719708109720964
apart,0.03422953657752207
april,0.12371322174837583
arc,0.7608527734133191
area,0.4256612284838074
arent,0.03801413772671212
armin,-0.20243208406103044
around,-0.15042257940279324
art,0.35110248604470523
as,-0.2813685771152071
aside,0.04177551924146862
ask,0.007104118485958322
aspect,-0.17655497720469143
atmosphere,0.21243271271792452
attack,-0.05047607619309954
attempt,-0.37500013477405375
attention,-0.07401950563544364
audience,-0.419316441133688
author,-0.5226113837766181
average,-0.623558937802737
away,-0.2533041925739968
awesome,0.626831321786654
back,-0.6218386734779302
background,-0.04843486550570949
backstory,-0.20887255671777652
bad,-1.4671883195034252
bakugo,0.09537739530136968
ball,-0.6067399669854127
barely,-0.9525192754705244
based,-0.04587401456195077
basic,-0.6089900204382803
basically,-0.28773420006896383
battle,0.319902049942136
beast,0.07068211763180714
beat,-0.3781449526349772
beautiful,0.598165830190651
beautifully,-0.26521638128251374
became,-0.28916323111417347
become,0.26872706464570845
becomes,-0.28573318648641327
becoming,0.19194057910901144
begin,0.0017976138520400624
beginning,0.16003329024436558
behind,0.34394984763587566
belief,0.41781181395266703
believe,-0.1892404923554179
besides,-0.2916699821767575
best,1.0852413817104947
better,-0.44589073314958705
beyond,-0.22491613209611463
big,0.028984484932222644
biggest,-0.3420514293113532
bit,1.262407820225413
bland,-0.7302893626517082
blood,0.21674851042240345
body,-0.03389435377768242
boku,0.1883589396024176
bone,0.05773221533540116
book,0.2930952540021433
bored,-0.08030590667870825
boring,-2.0397932024845993
boy,0.18675020720961047
brain,-0.354013145086427
break,0.2675448516954818
brilliant,0.6167056064855017
bring,0.14957765722804853
brings,0.17865747096387366
brother,0.2191963758854365
brotherhood,0.6252051337220471
brought,0.2555493185434321
build,0.20933049571624412
building,-0.1777647797078179
built,0.08590912806239294
bully,-0.35600631567513374
bunch,-0.5598590637623424
call,-0.22193840796134445
called,-0.13180504579428587
came,-0.032760561695558695
cant,-0.7000060041883767
care,-0.6340124223503896
case,-0.47380963429553535
cast,0.3307921391444572
caught,0.06539537895704764
cause,-0.4080456749875666
certain,0.057543091180176746
certainly,0.3030735797592419
challenge,0.2952541261203734
chance,0.20304204532058115
change,0.5461804799068406
changed,0.4603027866680669
character,-0.19174793637141468
check,0.07710558339559502
child,-0.22698266651258342
childhood,0.15474646092018327
childish,0.13266153512408788
choice,0.08760501782468798
city,0.3785967635218632
class,0.28591215943059134
classic,0.09547663519482785
clear,0.17597151426711208
clearly,-0.018450185359284527
cliche,-0.28770873633958494
close,0.25457090862407705
code,0.29851246824407507
color,0.012983927363556325
come,-0.014580073466511809
comedy,0.21416306881140412
coming,0.36166931545975156
common,-0.1680027315127002
community,-0.15332834195894418
compare,-0.01817078217459816
compared,0.056123362474956105
compelling,0.18428811996756742
complaint,0.2782693558901409
complete,-0.518893675461822
completely,-0.7538535876158817
complex,-0.03520033944795113
concept,-0.6009522242183106
conclusion,-0.1311997269225892
conflict,0.24154901849563365
consider,-0.03835909771515724
considered,-0.07870164576580738
considering,-0.4881197038470764
constantly,-0.4699837008356805
contain,0.013430843219264623
contains,0.19055042966393815
content,-0.3506090090193702
continue,-0.14364263221848647
cool,-0.49213017315762797
could,-0.9899825799872082
couldnt,-0.5418161690311568
couple,0.056502817126635914
cour,0.327578007721507
course,-0.10692650134492544
cover,0.011677035733558699
crazy,0.28425047579899715
create,-0.08151415593337726
created,0.3659673411409018
creator,-0.3844485020394423
cry,-0.13513586260293578
cut,-0.04266964478716047
cute,-0.14550943022285986
damn,-0.13038129755377814
dark,0.7539782698008752
day,0.44465185930176215
dead,-0.35437564078290934
deaf,-0.7997300912942921
deal,0.5374090222513381
death,0.42216054745500037
decent,-0.6091490356183126
decided,-0.6349123882846781
decision,0.2622110407905554
deep,0.02524102203619958
defeat,0.09420188856917226
definitely,0.8987624525573032
deku,-0.2777334531580079
demon,0.987696919061395
depth,-0.24007619487706056
describe,-0.06834919226366852
deserves,0.144954872015071
design,-0.1356037581635313
despite,-0.18914378814422408
detail,0.31391627467849165
develop,0.14585763632848314
developed,0.34509485868651
development,0.4354847950478635
dialogue,0.06259735779088406
didnt,-0.3207711731263923
die,0.03954160842358328
difference,0.34745057077631264
different,0.760272205482663
difficult,-0.04221652586588313
direction,-0.40055327216771763
disappointed,-0.8961521734690417
doesnt,-0.7517548625083811
done,0.044119121809347836
dont,-0.8355737828190194
doubt,0.1430149575951908
drama,-0.715030133427827
dramatic,0.21550256360433512
drawn,0.07934990469090127
dream,0.09264415656034439
drop,0.04845003635472736
due,-0.31407379225426796
dull,-0.34621299634206915
earlier,-0.09143954448587459
early,-0.12305746370252536
easily,0.3679012647378628
easy,0.1565217781289204
eat,0.060057349316925475
ed,0.1929886164722442
edge,0.4514095232817742
edward,0.06038864127484719
effect,0.3435161131365802
effort,-0.43147254259594786
either,-0.22405515106526364
element,0.5821772790270795
else,-0.31111589728526134
emotion,0.9903366522207556
emotional,0.41909695891310544
encounter,0.20023718557836373
end,-0.5114818141583909
ended,-0.06180203628064353
ending,0.4882960861364327
enemy,0.30758542398153405
engaging,0.5255090682796887
enjoy,0.08898669317237543
enjoyable,0.03945767392120476
enjoyed,0.4784270628103
enjoyment,0.8246254511661139
enough,0.2447242403298474
entertaining,-0.02675814879985982
entertainment,0.059425281542251136
entire,-0.022273449018349628
entirely,-0.0808624005151361
epic,0.627324703477448
episode,0.26133926956581327
eren,0.20276145639206178
especially,0.3858630036905656
essentially,-0.24851311714525406
etc,-0.03848585645886442
